geography_code,Subgroup,Group,Supergroup
S01020117,1c2,1c,1
S01020118,7a1,7a,7
S01020119,5a1,5a,5
S01020120,7a1,7a,7
S01020121,7b2,7b,7
S01020122,8b1,8b,8
S01020123,8b2,8b,8
S01020124,8b1,8b,8
S01020125,1b1,1b,1
S01020126,7a1,7a,7
S01020127,8b1,8b,8
S01020128,8b2,8b,8
S01020129,1b2,1b,1
S01020130,8b1,8b,8
S01020131,8b1,8b,8
S01020132,8b1,8b,8
S01020133,8b1,8b,8
S01020134,8a2,8a,8
S01020135,2b2,2b,2
S01020136,7a2,7a,7
S01020137,8b1,8b,8
S01020138,6b1,6b,6
S01020139,1b2,1b,1
S01020140,8b2,8b,8
S01020141,8b2,8b,8
S01020142,8b3,8b,8
S01020143,8b1,8b,8
S01020144,6a3,6a,6
S01020145,7a1,7a,7
S01020146,1c2,1c,1
S01020147,2c2,2c,2
S01020148,5a2,5a,5
S01020149,2c1,2c,2
S01020150,1c2,1c,1
S01020151,1c2,1c,1
S01020152,1c1,1c,1
S01020153,7b2,7b,7
S01020154,7b2,7b,7
S01020155,1c2,1c,1
S01020156,1c2,1c,1
S01020157,2c2,2c,2
S01020158,2c2,2c,2
S01020159,2c2,2c,2
S01020160,8b2,8b,8
S01020161,2c2,2c,2
S01020162,6b2,6b,6
S01020163,1c1,1c,1
S01020164,1c2,1c,1
S01020165,1c2,1c,1
S01020166,1c2,1c,1
S01020167,5b1,5b,5
S01020168,5b1,5b,5
S01020169,5b2,5b,5
S01020170,2a2,2a,2
S01020171,1c2,1c,1
S01020172,2b2,2b,2
S01020173,5b2,5b,5
S01020174,1c2,1c,1
S01020175,1c2,1c,1
S01020176,8a2,8a,8
S01020177,1c2,1c,1
S01020178,5a1,5a,5
S01020179,8a2,8a,8
S01020180,2a2,2a,2
S01020181,7a2,7a,7
S01020182,7a2,7a,7
S01020183,5a1,5a,5
S01020184,5b2,5b,5
S01020185,5a3,5a,5
S01020186,8b1,8b,8
S01020187,8b1,8b,8
S01020188,6a2,6a,6
S01020189,7b2,7b,7
S01020190,7b2,7b,7
S01020191,2c1,2c,2
S01020192,8b1,8b,8
S01020193,1c2,1c,1
S01020194,8b1,8b,8
S01020195,8a2,8a,8
S01020196,1b2,1b,1
S01020197,1c2,1c,1
S01020198,2a2,2a,2
S01020199,1c1,1c,1
S01020200,1c1,1c,1
S01020201,2c2,2c,2
S01020202,8a1,8a,8
S01020203,1b2,1b,1
S01020204,2a1,2a,2
S01020205,8b3,8b,8
S01020206,7a2,7a,7
S01020207,7a1,7a,7
S01020208,2c2,2c,2
S01020209,1b2,1b,1
S01020210,8b3,8b,8
S01020211,5b1,5b,5
S01020212,8b2,8b,8
S01020213,8a2,8a,8
S01020214,8b1,8b,8
S01020215,8a2,8a,8
S01020216,5b1,5b,5
S01020217,1b2,1b,1
S01020218,2c2,2c,2
S01020219,8a2,8a,8
S01020220,8a2,8a,8
S01020221,8a2,8a,8
S01020222,8b1,8b,8
S01020223,8b3,8b,8
S01020224,8b1,8b,8
S01020225,8a2,8a,8
S01020226,8b1,8b,8
S01020227,7a1,7a,7
S01020228,8b3,8b,8
S01020229,8b3,8b,8
S01020230,8b3,8b,8
S01020231,8b1,8b,8
S01020232,8b1,8b,8
S01020233,8b1,8b,8
S01020234,7a1,7a,7
S01020235,1b2,1b,1
S01020236,2a3,2a,2
S01020237,2c2,2c,2
S01020238,1c1,1c,1
S01020239,2c2,2c,2
S01020240,2c2,2c,2
S01020241,8b1,8b,8
S01020242,8a2,8a,8
S01020243,1b2,1b,1
S01020244,2c2,2c,2
S01020245,1c1,1c,1
S01020246,8b1,8b,8
S01020247,2b2,2b,2
S01020248,7a1,7a,7
S01020249,7a1,7a,7
S01020250,8b1,8b,8
S01020251,7a1,7a,7
S01020252,1c2,1c,1
S01020253,1c2,1c,1
S01020254,1c2,1c,1
S01020255,1c2,1c,1
S01020256,1c2,1c,1
S01020257,1c2,1c,1
S01020258,8a1,8a,8
S01020259,2a1,2a,2
S01020260,1c2,1c,1
S01020261,8a1,8a,8
S01020262,1c2,1c,1
S01020263,7a2,7a,7
S01020264,2c1,2c,2
S01020265,2a1,2a,2
S01020266,6b2,6b,6
S01020267,2a2,2a,2
S01020268,8b1,8b,8
S01020269,8b3,8b,8
S01020270,7a2,7a,7
S01020271,8b3,8b,8
S01020272,7a2,7a,7
S01020273,8b1,8b,8
S01020274,8b3,8b,8
S01020275,8a1,8a,8
S01020276,7a2,7a,7
S01020277,8b1,8b,8
S01020278,8b2,8b,8
S01020279,8b1,8b,8
S01020280,2a1,2a,2
S01020281,7a2,7a,7
S01020282,6b2,6b,6
S01020283,2a2,2a,2
S01020284,8b3,8b,8
S01020285,8b3,8b,8
S01020286,1a2,1a,1
S01020287,8b3,8b,8
S01020288,8b3,8b,8
S01020289,1c2,1c,1
S01020290,6b2,6b,6
S01020291,6b3,6b,6
S01020292,1b2,1b,1
S01020293,8b3,8b,8
S01020294,6b2,6b,6
S01020295,6b2,6b,6
S01020296,7a1,7a,7
S01020297,8b2,8b,8
S01020298,8b3,8b,8
S01020299,2c2,2c,2
S01020300,8b2,8b,8
S01020301,2c2,2c,2
S01020302,7a2,7a,7
S01020303,8b2,8b,8
S01020304,1c1,1c,1
S01020305,1c2,1c,1
S01020306,1c2,1c,1
S01020307,1c2,1c,1
S01020308,1c2,1c,1
S01020309,8b1,8b,8
S01020310,1c2,1c,1
S01020311,1c1,1c,1
S01020312,1c2,1c,1
S01020313,1c2,1c,1
S01020314,1c2,1c,1
S01020315,1b2,1b,1
S01020316,1c2,1c,1
S01020317,1c2,1c,1
S01020318,1c2,1c,1
S01020319,1c2,1c,1
S01020320,5a2,5a,5
S01020321,5a2,5a,5
S01020322,1c2,1c,1
S01020323,2a3,2a,2
S01020324,1b2,1b,1
S01020325,2a2,2a,2
S01020326,1b2,1b,1
